symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_last_accumulated_quantity,order_trade_time,usd_size
ETH,SELL,LIMIT,IOC,0.015,4633.19,4651.44,FILLED,0.015,0.015,1756104046088,69.49784999999999
DOGE,SELL,LIMIT,IOC,405,0.222440,0.223840,FILLED,405,405,1756104046622,90.0882
ETH,SELL,LIMIT,IOC,0.248,4633.03,4651.51,FILLED,0.248,0.248,1756104047491,1148.99144
DOGE,SELL,LIMIT,IOC,164,0.222430,0.223840,FILLED,164,164,1756104048249,36.478519999999996
ETH,SELL,LIMIT,IOC,0.029,4632.82,4651.34,FILLED,0.029,0.029,1756104049071,134.35178
ETHUSDC,SELL,LIMIT,IOC,0.167,4633.94,4653.39,FILLED,0.167,0.167,1756104049823,773.86798
HYPE,SELL,LIMIT,IOC,218.32,44.66500,45.17588,FILLED,4.99,218.32,1756104050601,9751.262799999999
LINK,SELL,LIMIT,IOC,19.17,25.574,25.693,FILLED,19.17,19.17,1756104060378,490.25358000000006
PROMPT,BUY,LIMIT,IOC,1549,0.3516000,0.3479000,FILLED,1549,1549,1756104060509,544.6284
CRV,SELL,LIMIT,IOC,763.9,0.862,0.867,FILLED,129.6,763.9,1756104060509,658.4818
ONG,BUY,LIMIT,IOC,1379,0.2148400,0.2116535,FILLED,439,1379,1756104061320,296.26436
BOME,BUY,LIMIT,IOC,49625,0.0022990,0.0022770,FILLED,49625,49625,1756104063484,114.087875
SKL,SELL,LIMIT,IOC,12278,0.03069,0.03115,FILLED,3924,12278,1756104066553,376.81181999999995
BOME,BUY,LIMIT,IOC,934539,0.0023020,0.0022815,FILLED,425773,934539,1756104085194,2151.3087779999996
ONT,BUY,LIMIT,IOC,4485.6,0.2043,0.2012,FILLED,1054.5,4485.6,1756104089844,916.4080800000002
ONT,BUY,LIMIT,IOC,1056.1,0.2050,0.2021,FILLED,1056.1,1056.1,1756104093358,216.50049999999996
MEME,SELL,LIMIT,IOC,11965,0.0038480,0.0038870,FILLED,11965,11965,1756104097161,46.04132
XPL,BUY,LIMIT,IOC,870,0.5546000,0.5487000,FILLED,870,870,1756104098143,482.502
NTRN,SELL,LIMIT,IOC,11947,0.103140,0.104619,FILLED,4995,11947,1756104102351,1232.2135799999999
BID,SELL,LIMIT,IOC,43,0.0988600,0.1000700,FILLED,43,43,1756104106147,4.25098
BID,SELL,LIMIT,IOC,9403,0.0986500,0.1000745,FILLED,343,9403,1756104109291,927.60595
WLFI,BUY,LIMIT,IOC,1346,0.2371000,0.2357000,FILLED,1346,1346,1756104113542,319.1366
PHA,SELL,LIMIT,IOC,592,0.1150900,0.1167800,FILLED,592,592,1756104120438,68.13328
PHA,SELL,LIMIT,IOC,206799,0.1142000,0.1164129,FILLED,338,206799,1756104121437,23616.445799999998
ONT,SELL,LIMIT,IOC,18573.3,0.1975,0.1998,FILLED,1437.3,18573.3,1756104123073,3668.22675
ONT,SELL,LIMIT,IOC,1770.1,0.1973,0.2002,FILLED,298.2,1770.1,1756104124300,349.24073
DOGS,BUY,LIMIT,IOC,161071,0.0001496,0.0001482,FILLED,161071,161071,1756104125451,24.0962216
BOME,BUY,LIMIT,IOC,109250,0.0023050,0.0022810,FILLED,23696,109250,1756104127125,251.82125000000002
OGN,BUY,LIMIT,IOC,260,0.0807,0.0795,FILLED,260,260,1756104128270,20.982
WLFI,BUY,LIMIT,IOC,449,0.2381000,0.2351000,FILLED,449,449,1756104132669,106.90690000000001
WLFI,BUY,LIMIT,IOC,635,0.2376449,0.2351000,FILLED,635,635,1756104133919,150.90451149999998
HYPE,SELL,LIMIT,IOC,7.80,44.67800,45.09400,FILLED,1.34,7.80,1756104141192,348.48839999999996
ALCH,BUY,LIMIT,IOC,24235,0.1009100,0.0995994,FILLED,1048,24235,1756104141471,2445.55385
NTRN,SELL,LIMIT,IOC,480,0.103080,0.104585,FILLED,25,480,1756104144333,49.4784
ZEC,SELL,LIMIT,IOC,1.664,40.99,41.36,FILLED,1.664,1.664,1756104146389,68.20736
NTRN,SELL,LIMIT,IOC,120,0.102990,0.104520,FILLED,120,120,1756104147373,12.3588
ZEC,SELL,LIMIT,IOC,2.248,40.95,41.36,FILLED,2.248,2.248,1756104148492,92.05560000000001
PHA,SELL,LIMIT,IOC,1638,0.1148400,0.1164500,FILLED,1638,1638,1756104149263,188.10792
SEI,SELL,LIMIT,IOC,7170,0.2979000,0.3009000,FILLED,4893,7170,1756104149624,2135.943
HYPE,SELL,LIMIT,IOC,2.00,44.64600,45.09900,FILLED,2.00,2.00,1756104151471,89.292
WLFI,BUY,LIMIT,IOC,44674,0.2396000,0.2355000,FILLED,3211,44674,1756104152239,10703.8904
ONT,SELL,LIMIT,IOC,226.6,0.1960,0.1991,FILLED,226.6,226.6,1756104156371,44.4136
ENAUSDC,SELL,LIMIT,IOC,698,0.6581000,0.6647000,FILLED,15,698,1756104158069,459.35380000000004
EGLD,SELL,LIMIT,IOC,43.9,15.136,15.274,FILLED,3.0,43.9,1756104158069,664.4703999999999
SUIUSDC,SELL,LIMIT,IOC,125.7,3.515970,3.550523,FILLED,68.8,125.7,1756104158069,441.957429
DOT,SELL,LIMIT,IOC,169.3,3.971,3.995,FILLED,169.3,169.3,1756104158069,672.2903000000001
SUI,SELL,LIMIT,IOC,28.0,3.516000,3.551400,FILLED,28.0,28.0,1756104159146,98.44800000000001
TON,SELL,LIMIT,IOC,580.0,3.2234000,3.2558678,FILLED,133.8,580.0,1756104161208,1869.572
KAIA,SELL,LIMIT,IOC,1203,0.1436000,0.1450000,FILLED,1203,1203,1756104162300,172.7508
EPT,SELL,LIMIT,IOC,41936,0.0049110,0.0049750,FILLED,5583,41936,1756104162446,205.94769599999998
EPT,SELL,LIMIT,IOC,191789,0.0049030,0.0049739,FILLED,5683,191789,1756104167433,940.3414670000001
ONT,SELL,LIMIT,IOC,251.0,0.1954,0.1977,FILLED,251.0,251.0,1756104169086,49.0454
THE,SELL,LIMIT,IOC,321.8,0.3816000,0.3872000,FILLED,226.2,321.8,1756104170623,122.79888
MEME,SELL,LIMIT,IOC,260722,0.0038440,0.0038818,FILLED,23094,260722,1756104171223,1002.215368
PROMPT,BUY,LIMIT,IOC,164,0.3511000,0.3482000,FILLED,164,164,1756104171528,57.580400000000004
ONT,SELL,LIMIT,IOC,1383.5,0.1950,0.1973,FILLED,1348.9,1383.5,1756104171528,269.7825
ONT,SELL,LIMIT,IOC,520.0,0.1947,0.1972,FILLED,520.0,520.0,1756104174131,101.244
ONT,SELL,LIMIT,IOC,6584.7,0.1941,0.1964,FILLED,3427.7,6584.7,1756104175258,1278.09027
USELESS,SELL,LIMIT,IOC,78,0.2432000,0.2469000,FILLED,78,78,1756104178023,18.9696
BIO,BUY,LIMIT,IOC,5160,0.2470100,0.2446300,FILLED,5160,5160,1756104178073,1274.5716
ONT,SELL,LIMIT,IOC,10377.8,0.1936,0.1963,FILLED,1205.4,10377.8,1756104179055,2009.1420799999999
PHB,SELL,LIMIT,IOC,25,0.5910000,0.5993000,FILLED,25,25,1756104181468,14.774999999999999
BIO,BUY,LIMIT,IOC,55,0.2473900,0.2454600,FILLED,55,55,1756104182047,13.60645
ONT,SELL,LIMIT,IOC,1079.0,0.1934,0.1956,FILLED,1045.4,1079.0,1756104182079,208.6786
BIO,BUY,LIMIT,IOC,2358,0.2477800,0.2451379,FILLED,1819,2358,1756104183172,584.26524
ONT,SELL,LIMIT,IOC,24545.9,0.1932,0.1953,FILLED,3719.4,24545.9,1756104184464,4742.26788
BIO,BUY,LIMIT,IOC,270,0.2475900,0.2452300,FILLED,218,270,1756104185255,66.8493
PROMPT,BUY,LIMIT,IOC,186,0.3524000,0.3498000,FILLED,148,186,1756104185255,65.54639999999999
